[SCEN] t=0.00 scen=Fy crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 0.10, L= 10.00, L_straight= 10.00, slack=  0.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd= -5.00, desired=  1.00, ret=  0.10, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.40, L= 11.03, L_straight=  9.18, slack=  1.85, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.05), Fy_cmd=-10.00, desired= -0.02, ret=  0.05, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.50, L= 11.03, L_straight=  9.17, slack=  1.87, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.04), Fy_cmd=-10.00, desired= -0.03, ret=  0.04, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.60, L= 11.04, L_straight=  9.15, slack=  1.88, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.04), Fy_cmd=-10.00, desired= -0.04, ret=  0.03, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.70, L= 11.04, L_straight=  9.14, slack=  1.90, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.03), Fy_cmd=-10.00, desired= -0.05, ret=  0.03, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.80, L= 11.04, L_straight=  9.13, slack=  1.91, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.03), Fy_cmd=-10.00, desired= -0.06, ret=  0.02, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 5.90, L= 11.05, L_straight=  9.12, slack=  1.93, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=-10.00, desired= -0.06, ret=  0.01, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.00, L= 11.05, L_straight=  9.11, slack=  1.94, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=-10.00, desired= -0.07, ret=  0.00, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.10, L= 11.05, L_straight=  9.10, slack=  1.95, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=-10.00, desired= -0.07, ret= -0.01, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.20, L= 11.05, L_straight=  9.09, slack=  1.95, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=-10.00, desired= -0.08, ret= -0.01, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.30, L= 11.05, L_straight=  9.09, slack=  1.96, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.08, ret= -0.02, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.40, L= 11.04, L_straight=  9.08, slack=  1.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.08, ret= -0.03, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.50, L= 11.04, L_straight=  9.07, slack=  1.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.09, ret= -0.03, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.60, L= 11.04, L_straight=  9.06, slack=  1.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.09, ret= -0.04, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.70, L= 11.03, L_straight=  9.06, slack=  1.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.09, ret= -0.04, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.80, L= 11.03, L_straight=  9.05, slack=  1.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.09, ret= -0.05, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 6.90, L= 11.03, L_straight=  9.05, slack=  1.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.09, ret= -0.05, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.00, L= 11.02, L_straight=  9.04, slack=  1.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.09, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.10, L= 11.01, L_straight=  9.04, slack=  1.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.01), Fy_cmd=-10.00, desired= -0.09, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.20, L= 11.01, L_straight=  9.03, slack=  1.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.09, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.30, L= 11.00, L_straight=  9.03, slack=  1.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.09, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.40, L= 11.00, L_straight=  9.02, slack=  1.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.09, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.50, L= 10.99, L_straight=  9.02, slack=  1.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.08, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.60, L= 10.98, L_straight=  9.02, slack=  1.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.08, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.70, L= 10.98, L_straight=  9.01, slack=  1.96, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.08, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.80, L= 10.97, L_straight=  9.01, slack=  1.96, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.08, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 7.90, L= 10.96, L_straight=  9.01, slack=  1.95, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.08, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.00, L= 10.95, L_straight=  9.01, slack=  1.95, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.07, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.10, L= 10.95, L_straight=  9.00, slack=  1.94, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.07, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.20, L= 10.94, L_straight=  9.00, slack=  1.94, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.07, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.30, L= 10.93, L_straight=  9.00, slack=  1.93, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.07, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.40, L= 10.93, L_straight=  9.00, slack=  1.93, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.06, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.50, L= 10.92, L_straight=  9.00, slack=  1.92, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.06, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.60, L= 10.91, L_straight=  9.00, slack=  1.91, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.06, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.70, L= 10.91, L_straight=  9.00, slack=  1.91, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.05, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.80, L= 10.90, L_straight=  9.00, slack=  1.90, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.05, ret= -0.07, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 8.90, L= 10.89, L_straight=  9.00, slack=  1.90, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.00), Fy_cmd=-10.00, desired= -0.05, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.00, L= 10.89, L_straight=  9.00, slack=  1.89, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired= -0.04, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.10, L= 10.88, L_straight=  9.00, slack=  1.88, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired= -0.04, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.20, L= 10.87, L_straight=  9.00, slack=  1.88, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired= -0.04, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.30, L= 10.87, L_straight=  9.00, slack=  1.87, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired= -0.03, ret= -0.06, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.40, L= 10.86, L_straight=  9.00, slack=  1.86, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired= -0.03, ret= -0.05, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 9.50, L= 10.86, L_straight=  9.00, slack=  1.86, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired= -0.03, ret= -0.05, exp=PILOT_DESC_SLACK_CAP_ACC
